0,1
trump tells netanyahu he would recognize jerusalem as israel capital world news,1
southeast shootout leaves NUMBER dead NUMBER wounded saturday night in HTTP barry farm area HTTP,1
nowplaying pipe it up clean on HTTP,0
check out partyman318 fr good tunez,1
love this song so much lt br keep em 39 coming,0
good point that would sure help,0
posted new photo to facebook HTTP,0
rt trumpmovementus venezuela jails opposition leaders in new crackdown on opponents HTTP,1
police search for florence robbery suspect HTTP HTTP,1
omg there search bar in everyone following and follower list on instagram instagram have no idea what you ve just done,0
everyone please subscribe to my channel or can you all just go look at my videos,1
why is no one pointing out that flynns calls were intercp amp transcribed yet clapper denied the issuance of fisa warrant obamagate cnnsotu,1
my 6th grade teacher looked exactly like katy perry come to think of it,0
business owner entrepreneur start up blogger reach 000 of people per day HTTP HTTP,1
shakira,0
its hard man so hard,0
consider myself student of life makemehateyouinonephrase,1
daltonrapattoni you are such role model for everyone and inspiration to everyone to keep there dreams alive your the proof its true,0
girl confessed to her friend my parents forced me to file false case HTTP,0
everyone please subscribe to my channel or can you all just go look at my videos,1
yomo log HTTP,0
agree they are just damn spammers they suck im trying to do the same and get known know the feeling will help you out and leave likes and comments on your page hope you could do the same and maybe subscribe to me that would be awesome thanks,1
check out this video on youtube br,1
this video will get to NUMBER billion just because of people checking if it has hit NUMBER billion yet,0
hey you check out the channel of alvar lake,1
world record youtube video views xd,0
sorry buddy hope you feel better soon,0
fuck eminem bieber is the best lt,0
wanna laugh please subscribe to our channel,1
john green HTTP,0
france clears jungle migrant camp in calais children in limbo world news,1
love the you lie the good,0
like me,0
love song,0
ouf ouf ouffffffffffffffffff,0
plz wilsubscribe me frndzzl subscribe back,1
waka waka,0
subscribe to me and wil subscribe to you back,1
check out this playlist on youtube,1
tomorrow,0
like,0
check out the new remix br click click,1
clinton us thrived with clintons in white house gopdebate stopthegop,1
restaurant store opens second baltimore area location HTTP HTTP,1
cool cool cool cool cool cool cool,0
tofeelbetteri protest,1
my friend sam loves this song,0
subscribe my channel please lol pro plays,1
congrats 50cent unit HTTP the underground artists of the month with NUMBER songs as most played listened per HTTP,1
turned it on mute as soon is came on just wanted to check the views,0
getting back from holiday and hearing from scouts that jasonjhuti played in goal at tournament sunday is this correct,0
don even know that song,0
islamic state claims suicide car bomb that kills more than NUMBER in iraq news,1
days in south beach,0
subscribe to me and ll subscribe to you must like czfcxsn0jnq,1
meadows casino cited for sending promotional mail to gambling addicts news,1
NUMBER billion views for this piece of shit,0
loved it so much because you get to stand fear,0
katy perry songs aren that bad,0
check out this video on youtube jjiwajwkajajqjaubkm,1
mother accused of leaving baby in hot car outside bar rejects plea deal news,1
the countdown is on NUMBER days until we play the beautiful courts of rolandgarros HTTP,0
pleas subscribe my channel gamezzmta,1
man 33 fatally stabbed in chest outside midtown restaurant HTTP HTTP,1
trump laments lack of gop unity but keeps up criticism HTTP politics,1
person hit by bart train trains not stopping at san francisco 16th street mission station HTTP,1
so done with him HTTP,0
memories,0
do you guys know there 39 part two of this song,0
shakira,0
best world cup song,0
my mama know don like her husband idk why she got me in this damn car take me home,0
puppies saved from fake dog rescue group ready for adoption HTTP HTTP,1
the funny thing is 700 000 000 of the views are spam bots mean mon NUMBER billion views bs,0
it more,0
the trump foundation scandal is about to go national as other states could follow the ny ag lead thedailybeast HTTP HTTP,1
